gensci,analsci,collsci,pynam,GL_pyscinam,N
MOLLUSCA,GASTROPODA,GASTROPODA,BUCCINUM UNDATUM,Gastropoda,3
MOLLUSCA,GASTROPODA,GASTROPODA,BUSYCON SP,Gastropoda,1
MOLLUSCA,GASTROPODA,GASTROPODA,CERITHIIDAE,Gastropoda,1
MOLLUSCA,GASTROPODA,GASTROPODA,COLUS SP,Gastropoda,2
MOLLUSCA,GASTROPODA,GASTROPODA,CREPIDULA PLANA,Gastropoda,2
MOLLUSCA,GASTROPODA,GASTROPODA,CYCLOSTREMATIDAE,Gastropoda,1
MOLLUSCA,GASTROPODA,GASTROPODA,DOTONIDAE,Gastropoda,1
MOLLUSCA,GASTROPODA,GASTROPODA,EPITONIUM SP,Gastropoda,1
MOLLUSCA,GASTROPODA,GASTROPODA,EUBRANCHUS EXIGUUS,Gastropoda,1
MOLLUSCA,GASTROPODA,GASTROPODA,EUBRANCHUS PALLIDUS,Gastropoda,1
MOLLUSCA,GASTROPODA,GASTROPODA,EUSPIRA HEROS,Gastropoda,11
MOLLUSCA,GASTROPODA,GASTROPODA,EUSPIRA IMMACULATA,Gastropoda,1
MOLLUSCA,GASTROPODA,GASTROPODA,FISSURELLIDAE,Gastropoda,2
MOLLUSCA,GASTROPODA,GASTROPODA,HAMINOEA SP,Gastropoda,1
MOLLUSCA,GASTROPODA,GASTROPODA,ILYANASSA SP,Gastropoda,1
MOLLUSCA,GASTROPODA,GASTROPODA,MARGARITES SP,Gastropoda,2
MOLLUSCA,GASTROPODA,GASTROPODA,NASSARIUS SP,Gastropoda,1
MOLLUSCA,GASTROPODA,GASTROPODA,NATICA CLAUSA,Gastropoda,1
MOLLUSCA,GASTROPODA,GASTROPODA,NATICIDAE,Gastropoda,67
MOLLUSCA,GASTROPODA,GASTROPODA,NEOGASTROPODA,Gastropoda,14
MOLLUSCA,GASTROPODA,GASTROPODA,NOTOACMEA TESTUDINALIS,Gastropoda,1
MOLLUSCA,GASTROPODA,GASTROPODA,NUCELLA SP,Gastropoda,5
MOLLUSCA,GASTROPODA,GASTROPODA,NUDIBRANCHIA,Gastropoda,91
MOLLUSCA,GASTROPODA,GASTROPODA,OPISTHOBRANCHIA,Gastropoda,6
MOLLUSCA,GASTROPODA,GASTROPODA,PLEUROBRANCHAEA SP,Gastropoda,5
MOLLUSCA,GASTROPODA,GASTROPODA,PROPILIDIUM SP,Gastropoda,1
MOLLUSCA,GASTROPODA,GASTROPODA,PUNCTURELLA NOACHINA,Gastropoda,1
MOLLUSCA,GASTROPODA,GASTROPODA,SCAPHANDER PUNCTOSTRIATUS,Gastropoda,2
MOLLUSCA,GASTROPODA,GASTROPODA,TROCHIDAE,Gastropoda,2
MOLLUSCA,GASTROPODA,PTEROPODA,CLIONE LIMACINA,Gastropoda,61
MOLLUSCA,GASTROPODA,PTEROPODA,LIMACINA SP,Gastropoda,59
MOLLUSCA,GASTROPODA,PTEROPODA,THECOSOMATA,Gastropoda,63
ECHINODERMATA,HOLOTHUROIDEA,HOLOTHUROIDEA,DENDROCHIROTIDA,Holothuroidea,4
ECHINODERMATA,HOLOTHUROIDEA,HOLOTHUROIDEA,PENTAMERA SP,Holothuroidea,2
ECHINODERMATA,HOLOTHUROIDEA,HOLOTHUROIDEA,STEREODERMA UNISEMITA,Holothuroidea,1
ECHINODERMATA,HOLOTHUROIDEA,HOLOTHUROIDEA,THYONE SP,Holothuroidea,2
CNIDARIA,CNIDARIA,HYDROZOA,CORYMORPHA SP,Hydrozoa,1
CNIDARIA,CNIDARIA,HYDROZOA,HYDROZOA,Hydrozoa,496
CNIDARIA,CNIDARIA,HYDROZOA,LEPTOMEDUSAE,Hydrozoa,91
CNIDARIA,CNIDARIA,HYDROZOA,OBELIA SP,Hydrozoa,6
CNIDARIA,CNIDARIA,HYDROZOA,SERTULARIIDAE,Hydrozoa,3
CNIDARIA,CNIDARIA,HYDROZOA,SIPHONOPHORA,Hydrozoa,65
CNIDARIA,CNIDARIA,HYDROZOA,THUIARIA THUJA,Hydrozoa,3
CNIDARIA,CNIDARIA,HYDROZOA,TUBULARIA SP,Hydrozoa,1
ARTHROPODA,AMPHIPODA,HYPERIIDAE,HYPERIA GALBA,Hyperiidae,26
ARTHROPODA,AMPHIPODA,HYPERIIDAE,HYPERIA MEDUSARUM,Hyperiidae,1
ARTHROPODA,AMPHIPODA,HYPERIIDAE,HYPERIIDAE,Hyperiidae,3231
ARTHROPODA,AMPHIPODA,HYPERIIDAE,HYPEROCHE MEDUSARUM,Hyperiidae,3
ARTHROPODA,AMPHIPODA,HYPERIIDAE,PARATHEMISTO GRACILIPES,Hyperiidae,26
ARTHROPODA,AMPHIPODA,HYPERIIDAE,PHRONIMA SEDENTARIA,Hyperiidae,1
ARTHROPODA,AMPHIPODA,HYPERIIDAE,THEMISTO GAUDICHAUDII,Hyperiidae,161
MOLLUSCA,CEPHALOPODA,ILLEX ILLECEBROSUS,ILLEX ILLECEBROSUS,Illex spp.,8
ARTHROPODA,ISOPODA,ISOPODA,AEGA PSORA,Isopoda,1
ARTHROPODA,ISOPODA,ISOPODA,AEGIDAE,Isopoda,1
ARTHROPODA,ISOPODA,ISOPODA,ANTHURIDAE,Isopoda,15
ARTHROPODA,ISOPODA,ISOPODA,BOPYRIDAE,Isopoda,1
ARTHROPODA,ISOPODA,ISOPODA,CHIRIDOTEA ALMYRA,Isopoda,4
ARTHROPODA,ISOPODA,ISOPODA,CHIRIDOTEA ARENICOLA,Isopoda,3
ARTHROPODA,ISOPODA,ISOPODA,CHIRIDOTEA NIGRESCENS,Isopoda,1
ARTHROPODA,ISOPODA,ISOPODA,CHIRIDOTEA TUFTSI,Isopoda,49
ARTHROPODA,ISOPODA,ISOPODA,CIROLANA BOREALIS,Isopoda,1
ARTHROPODA,ISOPODA,ISOPODA,CIROLANIDAE,Isopoda,572
ARTHROPODA,ISOPODA,ISOPODA,CYATHURA SP,Isopoda,2
ARTHROPODA,ISOPODA,ISOPODA,EDOTEA TRILOBA,Isopoda,18
ARTHROPODA,ISOPODA,ISOPODA,HEMIARTHRUS SP,Isopoda,1
ARTHROPODA,ISOPODA,ISOPODA,IDOTEA PHOSPHOREA,Isopoda,1
ARTHROPODA,ISOPODA,ISOPODA,IDOTEIDAE,Isopoda,33
ARTHROPODA,ISOPODA,ISOPODA,ISOPODA,Isopoda,5329
ARTHROPODA,ISOPODA,ISOPODA,JAERA MARINA,Isopoda,1
ARTHROPODA,ISOPODA,ISOPODA,JANIRA ALTA,Isopoda,3
ARTHROPODA,ISOPODA,ISOPODA,JANIRIDAE,Isopoda,3
ARTHROPODA,ISOPODA,ISOPODA,MUNNA SP,Isopoda,2
ARTHROPODA,ISOPODA,ISOPODA,MUNNOPSIDAE,Isopoda,1
ARTHROPODA,ISOPODA,ISOPODA,MUNNOPSIS TYPICA,Isopoda,3
ARTHROPODA,ISOPODA,ISOPODA,POLITOLANA CONCHARUM,Isopoda,2
ARTHROPODA,ISOPODA,ISOPODA,POLITOLANA POLITA,Isopoda,335
ARTHROPODA,ISOPODA,ISOPODA,PTILANTHURA TENUIS,Isopoda,3
ARTHROPODA,ISOPODA,ISOPODA,SYNIDOTEA SP,Isopoda,2
FISH,OPHIDIIDAE,LEPOPHIDIUM PROFUNDORUM,LEPOPHIDIUM PROFUNDORUM,Lepophidium profundorum,450
MOLLUSCA,CEPHALOPODA,LOLIGO PEALEII,LOLIGO PEALEII,Loligo spp.,58
FISH,ZOARCIDAE,MACROZOARCES AMERICANUS,MACROZOARCES AMERICANUS,Macrozoarces americanus,418
FISH,GADIDAE,MERLUCCIUS BILINEARIS,MERLUCCIUS BILINEARIS,Merluccius bilinearis,4497
MOLLUSCA,POLYPLACOPHORA,POLYPLACOPHORA,CHITON TUBERCULATUS,Mollusca,2
MOLLUSCA,POLYPLACOPHORA,POLYPLACOPHORA,POLYPLACOPHORA,Mollusca,23
MOLLUSCA,POLYPLACOPHORA,POLYPLACOPHORA,TONICELLA RUBRA,Mollusca,1
MOLLUSCA,SCAPHOPODA,SCAPHOPODA,DENTALIUM SP,Mollusca,1
MOLLUSCA,SCAPHOPODA,SCAPHOPODA,SCAPHOPODA,Mollusca,20
ARTHROPODA,MYSIDACEA,MYSIDACEA,AMBLYOPS ABBREVIATA,Mysidacea,3
ARTHROPODA,MYSIDACEA,MYSIDACEA,ERYTHROPS ERYTHROPHTHALMA,Mysidacea,72
ARTHROPODA,MYSIDACEA,MYSIDACEA,HETEROMYSIS FORMOSA,Mysidacea,4
ARTHROPODA,MYSIDACEA,MYSIDACEA,MYSIDACEA,Mysidacea,3265
ARTHROPODA,MYSIDACEA,MYSIDACEA,MYSIDAE,Mysidacea,659
ARTHROPODA,MYSIDACEA,MYSIDACEA,MYSIDOPSIS BIGELOWI,Mysidacea,47
ARTHROPODA,MYSIDACEA,MYSIDACEA,MYSIS MIXTA,Mysidacea,25
ARTHROPODA,MYSIDACEA,MYSIDACEA,NEOMYSIS AMERICANA,Mysidacea,443
ARTHROPODA,MYSIDACEA,MYSIDACEA,PSEUDOMMA AFFINE,Mysidacea,6
ECHINODERMATA,OPHIUROIDEA,OPHIUROIDEA,AMPHILIMNA OLIVACEA,Ophiuroidea,1
ECHINODERMATA,OPHIUROIDEA,OPHIUROIDEA,AMPHIODIA SP,Ophiuroidea,2
ECHINODERMATA,OPHIUROIDEA,OPHIUROIDEA,AMPHIOPLUS ABDITA,Ophiuroidea,1
ECHINODERMATA,OPHIUROIDEA,OPHIUROIDEA,AMPHIPHOLIS SP,Ophiuroidea,6
ECHINODERMATA,OPHIUROIDEA,OPHIUROIDEA,AMPHIURA SP,Ophiuroidea,4
ECHINODERMATA,OPHIUROIDEA,OPHIUROIDEA,AMPHIURIDAE,Ophiuroidea,2
ECHINODERMATA,OPHIUROIDEA,OPHIUROIDEA,AXIOGNATHUS SQUAMATUS,Ophiuroidea,4
ECHINODERMATA,OPHIUROIDEA,OPHIUROIDEA,EURYALE SP,Ophiuroidea,1
ECHINODERMATA,OPHIUROIDEA,OPHIUROIDEA,EURYALINA,Ophiuroidea,4
ECHINODERMATA,OPHIUROIDEA,OPHIUROIDEA,GORGONOCEPHALUS SP,Ophiuroidea,1
ECHINODERMATA,OPHIUROIDEA,OPHIUROIDEA,OPHIACANTHA BIDENTATA,Ophiuroidea,1
ECHINODERMATA,OPHIUROIDEA,OPHIUROIDEA,OPHIOLEPIS SP,Ophiuroidea,1
ECHINODERMATA,OPHIUROIDEA,OPHIUROIDEA,OPHIOPHOLIS ACULEATA,Ophiuroidea,160
ECHINODERMATA,OPHIUROIDEA,OPHIUROIDEA,OPHIURA ROBUSTA,Ophiuroidea,3
ECHINODERMATA,OPHIUROIDEA,OPHIUROIDEA,OPHIURA SARSI,Ophiuroidea,251
ECHINODERMATA,OPHIUROIDEA,OPHIUROIDEA,OPHIURIDA,Ophiuroidea,927
ECHINODERMATA,OPHIUROIDEA,OPHIUROIDEA,OPHIUROIDEA,Ophiuroidea,5433
FISH,GADIDAE,UROPHYCIS CHUSS,UROPHYCIS CHUSS,Other hakes,570
FISH,GADIDAE,UROPHYCIS REGIA,UROPHYCIS REGIA,Other hakes,246
FISH,GADIDAE,UROPHYCIS TENUIS,UROPHYCIS TENUIS,Other hakes,40
CHORDATA,CEPHALOCHORDATA,CEPHALOCHORDATA,BRANCHIOSTOMA SP,Other,12
FISH,ANARHICHADIDAE,ANARHICHAS LUPUS,ANARHICHAS LUPUS,Other fish,37
FISH,ANGUILLIFORMES,ANGUILLA ROSTRATA,ANGUILLA ROSTRATA,Other fish,3
FISH,ANGUILLIFORMES,CONGER OCEANICUS,CONGER OCEANICUS,Other fish,16
FISH,ANGUILLIFORMES,NEMICHTHYS SCOLOPACEUS,NEMICHTHYS SCOLOPACEUS,Other fish,10
FISH,ANGUILLIFORMES,OPHICHTHUS CRUENTIFER,OPHICHTHUS CRUENTIFER,Other fish,2
FISH,ANGUILLIFORMES,SYNAPHOBRANCHUS KAUPI,SYNAPHOBRANCHUS KAUPI,Other fish,1
FISH,ARGENTINIDAE,ARGENTINA SILUS,ARGENTINA SILUS,Other fish,8
FISH,ARGENTINIDAE,ARGENTINA STRIATA,ARGENTINA STRIATA,Other fish,3
FISH,ATHERINIDAE,ATHERINIDAE,ATHERINIDAE,Other fish,7
FISH,ATHERINIDAE,MENIDIA MENIDIA,MENIDIA MENIDIA,Other fish,1
FISH,BALISTIDAE,BALISTIDAE,BALISTIDAE,Other fish,6
FISH,BATRACHOIDIDAE,BATRACHOIDIDAE,BATRACHOIDIDAE,Other fish,2
FISH,BELONIDAE,BELONIDAE,BELONIDAE,Other fish,1
FISH,CARANGIDAE,DECAPTERUS PUNCTATUS,DECAPTERUS PUNCTATUS,Other fish,1
FISH,CARANGIDAE,SELENE SETAPINNIS,SELENE SETAPINNIS,Other fish,2
FISH,CARANGIDAE,TRACHURUS LATHAMI,TRACHURUS LATHAMI,Other fish,1
FISH,CHLOROPHTHALMIDAE,CHLOROPHTHALMUS AGASSIZI,CHLOROPHTHALMUS AGASSIZI,Other fish,24
FISH,CHLOROPHTHALMIDAE,PARASUDIS TRUCULENTA,PARASUDIS TRUCULENTA,Other fish,1
FISH,CHONDRICHTHYES,CHONDRICHTHYES,CHONDRICHTHYES,Other fish,22
FISH,CYCLOPTERIDAE,CYCLOPTERIDAE,CYCLOPTERIDAE,Other fish,115
FISH,DACTYLOPTERIDAE,DACTYLOPTERUS VOLITANS,DACTYLOPTERUS VOLITANS,Other fish,1
FISH,EPIGONIDAE,EPIGONUS PANDIONIS,EPIGONUS PANDIONIS,Other fish,1
FISH,GASTEROSTEIDAE,GASTEROSTEUS ACULEATUS,GASTEROSTEUS ACULEATUS,Other fish,3
FISH,GOBIIDAE,GOBIIDAE,GOBIIDAE,Other fish,17
FISH,GOBIIDAE,GOBIOSOMA BOSC,GOBIOSOMA BOSC,Other fish,1
FISH,GONOSTOMATIDAE,GONOSTOMATIDAE,GONOSTOMATIDAE,Other fish,2
FISH,LABRIDAE,LABRIDAE,LABRIDAE,Other fish,1
FISH,LABRIDAE,TAUTOGOLABRUS ADSPERSUS,TAUTOGOLABRUS ADSPERSUS,Other fish,7
FISH,LOPHIIDAE,LOPHIIDAE,LOPHIIDAE,Other fish,5
FISH,LOPHIIDAE,LOPHIUS AMERICANUS,LOPHIUS AMERICANUS,Other fish,77
FISH,LUTJANIDAE,LUTJANIDAE,LUTJANIDAE,Other fish,1
FISH,MALLOTUS VILLOSUS,MALLOTUS VILLOSUS,MALLOTUS VILLOSUS,Other fish,1
FISH,MOBULIDAE,MANTA BIROSTRIS,MANTA BIROSTRIS,Other fish,1
FISH,MUGILIDAE,MUGILIDAE,MUGILIDAE,Other fish,1
FISH,MYCTOPHIDAE,MYCTOPHIDAE,MYCTOPHIDAE,Other fish,157
FISH,MYXINIDAE,MYXINE GLUTINOSA,MYXINE GLUTINOSA,Other fish,38
FISH,OGCOCEPHALIDAE,OGCOCEPHALIDAE,OGCOCEPHALIDAE,Other fish,1
FISH,OPHIDIIDAE,OPHIDIIDAE,OPHIDIIDAE,Other fish,183
FISH,OPHIDIIDAE,OPHIDION GRAYI,OPHIDION GRAYI,Other fish,11
FISH,OPHIDIIDAE,OPHIDION MARGINATUM,OPHIDION MARGINATUM,Other fish,10
FISH,OPHIDIIDAE,OTOPHIDIUM OMOSTIGMUM,OTOPHIDIUM OMOSTIGMUM,Other fish,3
FISH,OTHER FISH,ASPIDOPHOROIDES MONOPTERYGIUS,ASPIDOPHOROIDES MONOPTERYGIUS,Other fish,50
FISH,OTHER FISH,BLENNIDAE,BLENNIIDAE,Other fish,10
FISH,OTHER FISH,CALLIONYMIDAE,CALLIONYMIDAE,Other fish,1
FISH,OTHER FISH,CHAULIODUS SLOANI,CHAULIODUS SLOANI,Other fish,4
FISH,OTHER FISH,CRYPTACANTHODES MACULATUS,CRYPTACANTHODES MACULATUS,Other fish,120
FISH,OTHER FISH,CYCLOPTERUS LUMPUS,CYCLOPTERUS LUMPUS,Other fish,7
FISH,OTHER FISH,CYPRINODON VARIEGATUS,CYPRINODON VARIEGATUS,Other fish,1
FISH,OTHER FISH,LIPARIS ATLANTICUS,LIPARIS ATLANTICUS,Other fish,3
FISH,OTHER FISH,LIPARIS INQUILINUS,LIPARIS INQUILINUS,Other fish,3
FISH,OTHER FISH,LOPHOLATILUS CHAMAELEONTICEPS,LOPHOLATILUS CHAMAELEONTICEPS,Other fish,1
FISH,OTHER FISH,LUMPENUS LUMPRETAEFORMIS,LUMPENUS LUMPRETAEFORMIS,Other fish,40
FISH,OTHER FISH,LUMPENUS MACULATUS,LUMPENUS MACULATUS,Other fish,47
FISH,OTHER FISH,MAUROLICUS MUELLERI,MAUROLICUS WEITZMANI,Other fish,50
FISH,OTHER FISH,MICRODESMIDAE,MICRODESMIDAE,Other fish,1
FISH,OTHER FISH,OSTEICHTHYES,OSTEICHTHYES,Other fish,9672
FISH,OTHER FISH,PARALEPIDAE,PARALEPIDAE,Other fish,8
FISH,OTHER FISH,PERCIFORMES,PERCIFORMES,Other fish,1
FISH,OTHER FISH,PHOLIDAE,PHOLIDAE,Other fish,4
FISH,OTHER FISH,PHOLIS GUNNELLUS,PHOLIS GUNNELLUS,Other fish,138
FISH,OTHER FISH,POLYIPNUS ASTEROIDES,POLYIPNUS CLARUS,Other fish,1
FISH,OTHER FISH,POLYMIXIA LOWEI,POLYMIXIA LOWEI,Other fish,5
FISH,OTHER FISH,SCOMBERESOX SAURUS,SCOMBERESOX SAURUS,Other fish,23
FISH,OTHER FISH,STOMIAS BOA,STOMIAS BOA,Other fish,3
FISH,OTHER FISH,SYNODONTIDAE,SYNODONTIDAE,Other fish,3
FISH,OTHER FISH,TRACHINOCEPHALUS MYOPS,TRACHINOCEPHALUS MYOPS,Other fish,2
FISH,OTHER FISH,ULVARIA SUBBIFURCATA,ULVARIA SUBBIFURCATA,Other fish,10
FISH,OTHER FISH,ZENOPSIS CONCHIFERA,ZENOPSIS CONCHIFERA,Other fish,3
FISH,PETROMYZONTIDAE,PETROMYZONTIDAE,PETROMYZONTIDAE,Other fish,4
FISH,POMATOMIDAE,POMATOMUS SALTATRIX,POMATOMUS SALTATRIX,Other fish,5
FISH,SCIAENIDAE,CYNOSCION REGALIS,CYNOSCION REGALIS,Other fish,1
FISH,SCIAENIDAE,LEIOSTOMUS XANTHURUS,LEIOSTOMUS XANTHURUS,Other fish,4
FISH,SCIAENIDAE,MICROPOGONIAS UNDULATUS,MICROPOGONIAS UNDULATUS,Other fish,3
FISH,SCORPAENIDAE,HELICOLENUS DACTYLOPTERUS,HELICOLENUS DACTYLOPTERUS,Other fish,47
FISH,SCORPAENIDAE,SCORPAENIDAE,SCORPAENIDAE,Other fish,14
FISH,SCORPAENIDAE,SEBASTES FASCIATUS,SEBASTES FASCIATUS,Other fish,285
FISH,SCYLIORHINIDAE,SCYLIORHINUS RETIFER,SCYLIORHINUS RETIFER,Other fish,3
FISH,SERRANIDAE,CENTROPRISTIS STRIATA,CENTROPRISTIS STRIATA,Other fish,48
FISH,SERRANIDAE,SERRANIDAE,SERRANIDAE,Other fish,4
FISH,SHARK,SHARK,SELACHIMORPHA,Other fish,8
FISH,SHARK,SQUALUS ACANTHIAS,SQUALUS ACANTHIAS,Other fish,42
FISH,SPARIDAE,STENOTOMUS CHRYSOPS,STENOTOMUS CHRYSOPS,Other fish,187
FISH,SPHYRAENIDAE,SPHYRAENA BOREALIS,SPHYRAENA BOREALIS,Other fish,1
FISH,STERNOPTYCHIDAE,STERNOPTYCHIDAE,STERNOPTYCHIDAE,Other fish,1
FISH,STICHAEIDAE,STICHAEIDAE,STICHAEIDAE,Other fish,10
FISH,STROMATEIDAE,STROMATEIDAE,STROMATEIDAE,Other fish,2
FISH,SYNAGROPIDAE,SYNAGROPS BELLUS,SYNAGROPS BELLUS,Other fish,3
FISH,SYNGNATHIDAE,HIPPOCAMPUS ERECTUS,HIPPOCAMPUS ERECTUS,Other fish,2
FISH,SYNGNATHIDAE,SYNGNATHUS FUSCUS,SYNGNATHUS FUSCUS,Other fish,16
FISH,TETRAODONTIDAE,SPHOEROIDES MACULATUS,SPHOEROIDES MACULATUS,Other fish,1
FISH,TETRAODONTIDAE,TETRAODONTIDAE,TETRAODONTIDAE,Other fish,3
FISH,TRIGLIDAE,PERISTEDION MINIATUM,PERISTEDION MINIATUM,Other fish,8
FISH,TRIGLIDAE,PRIONOTUS CAROLINUS,PRIONOTUS CAROLINUS,Other fish,58
FISH,TRIGLIDAE,PRIONOTUS EVOLANS,PRIONOTUS EVOLANS,Other fish,1
FISH,TRIGLIDAE,TRIGLIDAE,TRIGLIDAE,Other fish,88
FISH,ZOARCIDAE,LYCENCHELYS VERRILLI,LYCENCHELYS VERRILLI,Other fish,60
FISH,ZOARCIDAE,MELANOSTIGMA ATLANTICUM,MELANOSTIGMA ATLANTICUM,Other fish,59
FISH,ZOARCIDAE,ZOARCIDAE,ZOARCIDAE,Other fish,49
ARTHROPODA,ARTHROPODA,ARTHROPODA,ARTHROPODA,Other invertebrates,72
ARTHROPODA,ARTHROPODA,HALACARIDAE,HALACARIDAE,Other invertebrates,1
ARTHROPODA,ARTHROPODA,LIMULUS POLYPHEMUS,LIMULUS POLYPHEMUS,Other invertebrates,10
ARTHROPODA,PYCNOGONIDA,PYCNOGONIDA,ACHELIA SPINOSA,Other invertebrates,1
ARTHROPODA,PYCNOGONIDA,PYCNOGONIDA,NYMPHON GROSSIPES,Other invertebrates,2
ARTHROPODA,PYCNOGONIDA,PYCNOGONIDA,PHOXICHILIDIIDAE,Other invertebrates,1
ARTHROPODA,PYCNOGONIDA,PYCNOGONIDA,PYCNOGONIDAE,Other invertebrates,1
ARTHROPODA,PYCNOGONIDA,PYCNOGONIDA,PYCNOGONUM LITTORALE,Other invertebrates,1
BRACHIOPODA,BRACHIOPODA,BRACHIOPODA,BRACHIOPODA,Other invertebrates,20
BRACHIOPODA,BRACHIOPODA,BRACHIOPODA,RHYNCHONELLIDAE,Other invertebrates,1
BRYOZOA,BRYOZOA,BRYOZOA,BUGULA TURRITA,Other invertebrates,1
BRYOZOA,BRYOZOA,BRYOZOA,DENDROBEANIA MURRAYANA,Other invertebrates,1
CHORDATA,HEMICHORDATA,HEMICHORDATA,HEMICHORDATA,Other invertebrates,4
PORIFERA,PORIFERA,PORIFERA,PORIFERA,Other invertebrates,48
UROCHORDATA,ASCIDIACEA,ASCIDIACEA,ASCIDIA CALLOSA,Other invertebrates,3
UROCHORDATA,ASCIDIACEA,ASCIDIACEA,BOSTRICHOBRANCHUS SP,Other invertebrates,3
UROCHORDATA,LARVACEANS,LARVACEANS,OIKOPLEURA SP,Other invertebrates,42
UROCHORDATA,LARVACEANS,LARVACEANS,SALPIDAE,Other invertebrates,178
UROCHORDATA,LARVACEANS,LARVACEANS,THALIACEA,Other invertebrates,264
UROCHORDATA,UROCHORDATA,UROCHORDATA,UROCHORDATA,Other invertebrates,99
ARTHROPODA,DECAPODA,PAGUROIDEA,CATAPAGURUS SP,Paguroidea,1
ARTHROPODA,DECAPODA,PAGUROIDEA,PAGURUS ACADIANUS,Paguroidea,283
ARTHROPODA,DECAPODA,PAGUROIDEA,PAGURUS ANNULIPES,Paguroidea,9
ARTHROPODA,DECAPODA,PAGUROIDEA,PAGURUS ARCUATUS,Paguroidea,5
ARTHROPODA,DECAPODA,PAGUROIDEA,PAGURUS LONGICARPUS,Paguroidea,30
ARTHROPODA,DECAPODA,PAGUROIDEA,PAGURUS POLLICARIS,Paguroidea,8
ARTHROPODA,DECAPODA,PAGUROIDEA,PAGURUS PUBESCENS,Paguroidea,24
ARTHROPODA,DECAPODA,PANDALIDAE,DICHELOPANDALUS LEPTOCERUS,Pandalidae,1344
ARTHROPODA,DECAPODA,PANDALIDAE,PANDALUS BOREALIS,Pandalidae,502
ARTHROPODA,DECAPODA,PANDALIDAE,PANDALUS MONTAGUI,Pandalidae,96
ARTHROPODA,DECAPODA,PANDALIDAE,PANDALUS PROPINQUUS,Pandalidae,15
FISH,STROMATEIDAE,PEPRILUS TRIACANTHUS,PEPRILUS TRIACANTHUS,Peprilus triacanthus,562
FISH,BOTHIDAE,CITHARICHTHYS ARCTIFRONS,CITHARICHTHYS ARCTIFRONS,Pleuronectiformes,297
FISH,BOTHIDAE,ETROPUS MICROSTOMUS,ETROPUS MICROSTOMUS,Pleuronectiformes,27
FISH,BOTHIDAE,MONOLENE SESSILICAUDA,MONOLENE SESSILICAUDA,Pleuronectiformes,1
FISH,BOTHIDAE,PARALICHTHYS DENTATUS,PARALICHTHYS DENTATUS,Pleuronectiformes,22
FISH,BOTHIDAE,PARALICHTHYS OBLONGUS,PARALICHTHYS OBLONGUS,Pleuronectiformes,58
FISH,BOTHIDAE,SCOPHTHALMUS AQUOSUS,SCOPHTHALMUS AQUOSUS,Pleuronectiformes,114
FISH,PLEURONECTIDAE,GLYPTOCEPHALUS CYNOGLOSSUS,GLYPTOCEPHALUS CYNOGLOSSUS,Pleuronectiformes,77
FISH,PLEURONECTIDAE,HIPPOGLOSSOIDES PLATESSOIDES,HIPPOGLOSSOIDES PLATESSOIDES,Pleuronectiformes,98
FISH,PLEURONECTIDAE,HIPPOGLOSSUS HIPPOGLOSSUS,HIPPOGLOSSUS HIPPOGLOSSUS,Pleuronectiformes,2
FISH,PLEURONECTIDAE,PLEURONECTES AMERICANUS,PSEUDOPLEURONECTES AMERICANUS,Pleuronectiformes,32
FISH,PLEURONECTIDAE,PLEURONECTES FERRUGINUS,LIMANDA FERRUGINEA,Pleuronectiformes,72
FISH,PLEURONECTIFORMES,PLEURONECTIFORMES,PLEURONECTIFORMES,Pleuronectiformes,446
FISH,SOLEIDAE,SOLEIDAE,SOLEIDAE,Pleuronectiformes,6
FISH,SOLEIDAE,SYMPHRUS PLAGIUSA,SYMPHURUS PLAGIUSA,Pleuronectiformes,2
ANNELIDA,ANNELIDA,APHRODITIDAE,APHRODITA HASTATA,Polychaeta,595
ANNELIDA,ANNELIDA,POLYCHAETA,AGLAOPHAMUS CIRCINATA,Polychaeta,5
ANNELIDA,ANNELIDA,POLYCHAETA,ALCIOPIDAE,Polychaeta,1
ANNELIDA,ANNELIDA,POLYCHAETA,AMPHARETE ACUTIFRONS,Polychaeta,23
ANNELIDA,ANNELIDA,POLYCHAETA,AMPHARETE ARCTICA,Polychaeta,82
ANNELIDA,ANNELIDA,POLYCHAETA,AMPHARETIDAE,Polychaeta,246
ANNELIDA,ANNELIDA,POLYCHAETA,AMPHINOMIDAE,Polychaeta,45
ANNELIDA,ANNELIDA,POLYCHAETA,AMPHITRITE JOHNSTONI,Polychaeta,1
ANNELIDA,ANNELIDA,POLYCHAETA,ANTINOELLA ANGUSTA,Polychaeta,1
ANNELIDA,ANNELIDA,POLYCHAETA,ARABELLA IRICOLOR,Polychaeta,2
ANNELIDA,ANNELIDA,POLYCHAETA,ARCHIANNELIDA,Polychaeta,2
ANNELIDA,ANNELIDA,POLYCHAETA,ARICIDEA SP,Polychaeta,3
ANNELIDA,ANNELIDA,POLYCHAETA,ASABELLIDES OCULATA,Polychaeta,6
ANNELIDA,ANNELIDA,POLYCHAETA,AUTOLYTUS SP,Polychaeta,1
ANNELIDA,ANNELIDA,POLYCHAETA,BRADA VILLOSA,Polychaeta,1
ANNELIDA,ANNELIDA,POLYCHAETA,CAPITELLIDAE,Polychaeta,30
ANNELIDA,ANNELIDA,POLYCHAETA,CERATOCEPHALE LOVENI,Polychaeta,1
ANNELIDA,ANNELIDA,POLYCHAETA,CHAETOPTERIDAE,Polychaeta,1
ANNELIDA,ANNELIDA,POLYCHAETA,CHONE INFUNDIBULIFORMIS,Polychaeta,43
