gensci,analsci,collsci,pynam,GL_pyscinam,N
ARTHROPODA,DECAPODA,DECAPODA CRAB,ALBUNEA GIBBESII,Decapoda crabs,2
ARTHROPODA,DECAPODA,DECAPODA CRAB,BATHYNECTES LONGISPINA,Decapoda crabs,2
ARTHROPODA,DECAPODA,DECAPODA CRAB,CALAPPIDAE,Decapoda crabs,4
ARTHROPODA,DECAPODA,DECAPODA CRAB,CARCINUS MAENAS,Decapoda crabs,3
ARTHROPODA,DECAPODA,DECAPODA CRAB,CHIONOECETES OPILIO,Decapoda crabs,8
ARTHROPODA,DECAPODA,DECAPODA CRAB,DIOGENIDAE,Decapoda crabs,6
ARTHROPODA,DECAPODA,DECAPODA CRAB,EMERITA TALPOIDA,Decapoda crabs,2
ARTHROPODA,DECAPODA,DECAPODA CRAB,EUPROGNATHA RASTELLIFERA,Decapoda crabs,1
ARTHROPODA,DECAPODA,DECAPODA CRAB,GALATHEIDAE,Decapoda crabs,611
ARTHROPODA,DECAPODA,DECAPODA CRAB,GERYON QUINQUEDENS,Decapoda crabs,27
ARTHROPODA,DECAPODA,DECAPODA CRAB,HEPATUS EPHELITICUS,Decapoda crabs,3
ARTHROPODA,DECAPODA,DECAPODA CRAB,HIPPOIDEA,Decapoda crabs,6
ARTHROPODA,DECAPODA,DECAPODA CRAB,HYAS ARANEUS,Decapoda crabs,2
ARTHROPODA,DECAPODA,DECAPODA CRAB,HYAS COARCTATUS,Decapoda crabs,108
ARTHROPODA,DECAPODA,DECAPODA CRAB,LEUCOSIIDAE,Decapoda crabs,1
ARTHROPODA,DECAPODA,DECAPODA CRAB,LIBINIA EMARGINATA,Decapoda crabs,1
ARTHROPODA,DECAPODA,DECAPODA CRAB,LITHODES MAJA,Decapoda crabs,27
ARTHROPODA,DECAPODA,DECAPODA CRAB,MAJIDAE,Decapoda crabs,409
ARTHROPODA,DECAPODA,DECAPODA CRAB,MUNIDA IRIS,Decapoda crabs,43
ARTHROPODA,DECAPODA,DECAPODA CRAB,MUNIDOPSIS SP,Decapoda crabs,4
ARTHROPODA,DECAPODA,DECAPODA CRAB,OVALIPES OCELLATUS,Decapoda crabs,353
ARTHROPODA,DECAPODA,DECAPODA CRAB,OVALIPES STEPHENSONI,Decapoda crabs,25
ARTHROPODA,DECAPODA,DECAPODA CRAB,PALICIDAE,Decapoda crabs,1
ARTHROPODA,DECAPODA,DECAPODA CRAB,PANOPEUS HERBSTII,Decapoda crabs,1
ARTHROPODA,DECAPODA,DECAPODA CRAB,PARTHENOPIDAE,Decapoda crabs,4
ARTHROPODA,DECAPODA,DECAPODA CRAB,PELIA MUTICA,Decapoda crabs,1
ARTHROPODA,DECAPODA,DECAPODA CRAB,PERSEPHONA SP,Decapoda crabs,1
ARTHROPODA,DECAPODA,DECAPODA CRAB,PINNOTHERES SP,Decapoda crabs,1
ARTHROPODA,DECAPODA,DECAPODA CRAB,PORTUNIDAE,Decapoda crabs,83
ARTHROPODA,DECAPODA,DECAPODA CRAB,PORTUNUS GIBBESII,Decapoda crabs,1
ARTHROPODA,DECAPODA,DECAPODA CRAB,PORTUNUS SAYI,Decapoda crabs,1
ARTHROPODA,DECAPODA,DECAPODA CRAB,XANTHIDAE,Decapoda crabs,46
